STREAM,Programm,Programm Name,Start,Ende,AKTIVITÄTEN,Inhalte,,,,,
BODY,MO,"MORNING
PROGRAMM",06:00,07:00,,Kälte Bad,Schwimmen,Calistenics,Laufen,MMA,Breath Training
ENERGIZE,,,06:00,07:00,,Sayajin Energization,,,,,
MIND MORNING,,,06:00,07:00,,Visualisation,Incantation,Sleep Programm,,,
ESSEN,DS,"DAYSTART
PROGRAMM",07:00,08:00,,Keto,Foodprep,Vegan,,,
TRINKEN,,,07:00,08:00,,Grüner Tee,Wasser,Kaffee,Snacks,Zitronen Wasser,
ARBEIT,WO,"WORK
PROGRAMM",08:00,16:00,,Tagesaufgaben,Projekt Aufgaben,Sonderaufgaben,,,
ANFORDERUNGEN,RE,"REQUESTS
PROGRAMM",14:00,16:30,,To Dos,Termine,Bürokratie,,,
ENVIRONMENT,EV,"ENVIRONMENT
PROGRAMM",16:30,17:00,,Aufräumen,Wäsche waschen,Müll entsorgen,,,
FAMILY,FA,"FAMILY
PROGRAMM",17:00,20:00,,Activity,Besuche,Events,,,
FORTBILDUNG,PR,"PROJECT
PROGRAMM",20:00,20:30,,30Min Sessions,2H Workshop Days,,,,
BUSINESS,BU,"BUSINESS
PROGRAMM",20:30,23:30,,Business Development,Bürokratie,Steuern,,,
MIND EVENING,NI,"NIGHT
PROGRAMM",23:30,23:55,,Journal,Personal Development,Incantations,Visualisierung,,
